checktype,current_epoch,issue_list,time_usage,Describe
epoch,0,[],1.9386601448059082,No Issue now
epoch,3,[],1.9674911499023438,No Issue now
epoch,6,[],1.9972422122955322,No Issue now
epoch,9,[],2.026827096939087,No Issue now
epoch,12,[],2.0564370155334473,No Issue now
epoch,15,[],2.0853431224823,No Issue now
epoch,18,[],2.1152071952819824,No Issue now
epoch,21,[],2.3034920692443848,No Issue now
epoch,24,[],2.411026954650879,No Issue now
epoch,27,[],2.518446207046509,No Issue now
epoch,30,[],2.627782106399536,No Issue now
epoch,33,[],2.6579692363739014,No Issue now
epoch,36,[],2.6839380264282227,No Issue now
epoch,39,[],2.7121353149414062,No Issue now
epoch,42,[],2.8190362453460693,No Issue now
epoch,45,[],2.8431930541992188,No Issue now
epoch,48,[],2.8663182258605957,No Issue now
epoch,51,[],2.890761137008667,No Issue now
epoch,54,[],2.913104295730591,No Issue now
epoch,57,[],2.937591075897217,No Issue now
epoch,60,[],2.9610791206359863,No Issue now
epoch,63,[],2.9843692779541016,No Issue now
epoch,66,[],3.0886032581329346,No Issue now
epoch,69,[],3.19085693359375,No Issue now
epoch,72,[],3.3714611530303955,No Issue now
epoch,75,[],3.473060131072998,No Issue now
epoch,78,[],3.6550159454345703,No Issue now
epoch,81,[],3.7573649883270264,No Issue now
epoch,84,[],3.8592641353607178,No Issue now
epoch,87,[],3.9615249633789062,No Issue now
epoch,90,[],4.063997030258179,No Issue now
epoch,93,[],4.168781042098999,No Issue now
epoch,96,[],4.272104024887085,No Issue now
epoch,99,[],4.374458074569702,No Issue now
epoch,102,[],4.555008172988892,No Issue now
epoch,105,[],4.577279090881348,No Issue now
epoch,108,[],4.601125240325928,No Issue now
epoch,111,[],4.781475067138672,No Issue now
epoch,114,[],4.803938150405884,No Issue now
epoch,117,[],4.827876091003418,No Issue now
epoch,120,[],4.851137161254883,No Issue now
epoch,123,[],4.9555792808532715,No Issue now
epoch,126,[],5.057799339294434,No Issue now
epoch,129,[],5.080643177032471,No Issue now
epoch,132,[],5.264038324356079,No Issue now
epoch,135,[],5.3660500049591064,No Issue now
epoch,138,[],5.388824224472046,No Issue now
epoch,141,[],5.493834018707275,No Issue now
epoch,144,[],5.51702618598938,No Issue now
epoch,147,[],5.542361259460449,No Issue now
epoch,150,[],5.567145109176636,No Issue now
epoch,153,[],5.590576171875,No Issue now
epoch,156,[],5.615571975708008,No Issue now
epoch,159,[],5.7186219692230225,No Issue now
epoch,162,[],5.857070207595825,No Issue now
epoch,165,[],5.880125045776367,No Issue now
epoch,168,[],5.905463218688965,No Issue now
epoch,171,[],5.930444002151489,No Issue now
epoch,174,[],6.033753156661987,No Issue now
epoch,177,[],6.058235168457031,No Issue now
epoch,180,[],6.081695079803467,No Issue now
epoch,183,[],6.1073760986328125,No Issue now
epoch,186,[],6.210331201553345,No Issue now
epoch,189,[],6.314075231552124,No Issue now
epoch,192,[],6.337477207183838,No Issue now
epoch,195,[],6.362986087799072,No Issue now
epoch,198,[],6.3865861892700195,No Issue now
epoch,201,[],6.4914093017578125,No Issue now
epoch,204,[],6.514934062957764,No Issue now
epoch,207,[],6.540869235992432,No Issue now
epoch,210,[],6.5641961097717285,No Issue now
epoch,213,[],6.66875696182251,No Issue now
epoch,216,[],6.691910266876221,No Issue now
epoch,219,[],6.717144012451172,No Issue now
epoch,222,[],6.742457151412964,No Issue now
epoch,225,[],6.766416311264038,No Issue now
epoch,228,[],6.79180121421814,No Issue now
epoch,231,[],6.8168251514434814,No Issue now
epoch,234,[],6.841076135635376,No Issue now
epoch,237,[],6.946631908416748,No Issue now
epoch,240,[],6.970494031906128,No Issue now
epoch,243,[],6.995476007461548,No Issue now
epoch,246,[],7.01987886428833,No Issue now
epoch,249,[],7.045685052871704,No Issue now
epoch,252,[],7.071274995803833,No Issue now
epoch,255,[],7.174200057983398,No Issue now
epoch,258,[],7.198320150375366,No Issue now
epoch,261,[],7.223577260971069,No Issue now
epoch,264,[],7.247169017791748,No Issue now
epoch,267,[],7.27318811416626,No Issue now
epoch,270,[],7.299377918243408,No Issue now
epoch,273,[],7.403185129165649,No Issue now
epoch,276,[],7.4287731647491455,No Issue now
epoch,279,[],7.455516338348389,No Issue now
epoch,282,[],7.480315208435059,No Issue now
epoch,285,[],7.505516052246094,No Issue now
epoch,288,[],7.531017065048218,No Issue now
epoch,291,[],7.555432081222534,No Issue now
epoch,294,[],7.581583261489868,No Issue now
epoch,297,[],7.60753607749939,No Issue now
epoch,300,[],7.631561994552612,No Issue now
epoch,303,[],7.657956123352051,No Issue now
epoch,306,[],7.683583974838257,No Issue now
epoch,309,[],7.707898139953613,No Issue now
epoch,312,[],7.734321117401123,No Issue now
epoch,315,[],7.838094234466553,No Issue now
epoch,318,[],7.86319899559021,No Issue now
epoch,321,[],7.887832164764404,No Issue now
epoch,324,[],7.914386987686157,No Issue now
epoch,327,[],7.939823150634766,No Issue now
epoch,330,[],7.964615345001221,No Issue now
epoch,333,[],7.991385221481323,No Issue now
epoch,336,[],8.01698613166809,No Issue now
epoch,339,[],8.041728973388672,No Issue now
epoch,342,[],8.067292928695679,No Issue now
epoch,345,[],8.091635942459106,No Issue now
epoch,348,[],8.1163809299469,No Issue now
epoch,351,[],8.142651319503784,No Issue now
epoch,354,[],8.166795015335083,No Issue now
epoch,357,[],8.192330121994019,No Issue now
epoch,360,[],8.218593120574951,No Issue now
epoch,363,[],8.243096113204956,No Issue now
epoch,366,[],8.26948618888855,No Issue now
epoch,369,['explode'],8.295600175857544,Found Issue Stop Training! Starting the repair procedure.
